"eval_id","evaluated_at_utc","model_name","seed","split","test_csv","imgsz","batch","run_name","run_dir","dice_macro","iou_macro","f1_macro","fluid_accuracy","fluid_precision","fluid_recall","fluid_specificity","fluid_f1","fluid_dice","fluid_iou","fluid_tp","fluid_tn","fluid_fp","fluid_fn","tumor_accuracy","tumor_precision","tumor_recall","tumor_specificity","tumor_f1","tumor_dice","tumor_iou","tumor_tp","tumor_tn","tumor_fp","tumor_fn"
"932bff94","2026-05-14T20:26:56.984415+00:00","baseline_scratch_seed1009.pth","1009","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct\test.csv","512","8","unet_eval__20260514-202648__id932bff94__modelbaseline_scratch_seed1009__splittumor_and_fluid_segmentation_oct__img512__bs8","runs_unet\unet_eval__20260514-202648__id932bff94__modelbaseline_scratch_seed1009__splittumor_and_fluid_segmentation_oct__img512__bs8","0.48594622738640236","0.34488171807588397","0.48594622738640236","0.9996218845762042","0.6181956191648428","0.1843492320123384","0.999953665465051","0.2840062769315665","0.2840062769315665","0.16550542878660654","5701","75987314","3521","25224","0.9692555131583365","0.7505529480948352","0.63487761927485","0.9881052588517012","0.6878861778412382","0.6878861778412382","0.5242580073651614","2575602","71108908","856004","1481246"
"fb5c8c1d","2026-05-14T20:27:04.900246+00:00","baseline_scratch_seed123.pth","123","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct\test.csv","512","8","unet_eval__20260514-202657__idfb5c8c1d__modelbaseline_scratch_seed123__splittumor_and_fluid_segmentation_oct__img512__bs8","runs_unet\unet_eval__20260514-202657__idfb5c8c1d__modelbaseline_scratch_seed123__splittumor_and_fluid_segmentation_oct__img512__bs8","0.5437684029691959","0.3880882327568238","0.5437684029691959","0.9996230947560264","0.569446142556734","0.3012126111550486","0.9999073177706219","0.3940105323257957","0.3940105323257957","0.24533817951894926","9315","75983792","7043","21610","0.9682966034987864","0.7162568638276292","0.6721940284674044","0.9849886705899105","0.6935262736125961","0.6935262736125961","0.5308382859946984","2726989","70884623","1080289","1329859"
"ba23a967","2026-05-14T20:27:12.684714+00:00","baseline_scratch_seed13.pth","13","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct\test.csv","512","8","unet_eval__20260514-202705__idba23a967__modelbaseline_scratch_seed13__splittumor_and_fluid_segmentation_oct__img512__bs8","runs_unet\unet_eval__20260514-202705__idba23a967__modelbaseline_scratch_seed13__splittumor_and_fluid_segmentation_oct__img512__bs8","0.5725346798876384","0.40770167959013526","0.5725346798876384","0.9996568350956344","0.6290899386142028","0.38111560226230845","0.9999085547618985","0.4746677406353712","0.4746677406353712","0.3111897343816043","11786","75983886","6949","19139","0.9686387160728704","0.7632840797551372","0.5976721336367397","0.9895510606613387","0.6704016191399056","0.6704016191399056","0.5042136247986662","2424665","71212955","751957","1632183"
"58174358","2026-05-14T20:27:20.553213+00:00","baseline_scratch_seed19.pth","19","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct\test.csv","512","8","unet_eval__20260514-202712__id58174358__modelbaseline_scratch_seed19__splittumor_and_fluid_segmentation_oct__img512__bs8","runs_unet\unet_eval__20260514-202712__id58174358__modelbaseline_scratch_seed19__splittumor_and_fluid_segmentation_oct__img512__bs8","0.5809923265210923","0.41751599011487905","0.5809923265210923","0.999663399005757","0.6506493506456767","0.3726111560214305","0.9999185822869283","0.47385627634322225","0.47385627634322225","0.3104925630515453","11523","75984648","6187","19402","0.9657682747676442","0.6696212451632159","0.7076875939152586","0.9803169494600354","0.6881283766989623","0.6881283766989623","0.5245394171782128","2870981","70548423","1416489","1185867"
"00e4ec00","2026-05-14T20:27:28.464206+00:00","baseline_scratch_seed2027.pth","2027","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct\test.csv","512","8","unet_eval__20260514-202720__id00e4ec00__modelbaseline_scratch_seed2027__splittumor_and_fluid_segmentation_oct__img512__bs8","runs_unet\unet_eval__20260514-202720__id00e4ec00__modelbaseline_scratch_seed2027__splittumor_and_fluid_segmentation_oct__img512__bs8","0.5114612295482435","0.355762629715882","0.5114612295482435","0.9996510341249649","0.6959700427898005","0.2524171382368556","0.999955126167516","0.37047056310868165","0.37047056310868165","0.22734818698055234","7806","75987425","3410","23119","0.9607378071752075","0.6182967611002629","0.6906011760854562","0.9759661069272189","0.6524518959878053","0.6524518959878053","0.4841770724512117","2801664","70235315","1729597","1255184"
"a729337a","2026-05-14T20:27:36.311902+00:00","baseline_scratch_seed271.pth","271","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct\test.csv","512","8","unet_eval__20260514-202728__ida729337a__modelbaseline_scratch_seed271__splittumor_and_fluid_segmentation_oct__img512__bs8","runs_unet\unet_eval__20260514-202728__ida729337a__modelbaseline_scratch_seed271__splittumor_and_fluid_segmentation_oct__img512__bs8","0.5210655656122544","0.3651444239582588","0.5210655656122544","0.9996684764993589","0.7987053664564762","0.24737267582781772","0.9999746285193457","0.3777497963104517","0.3777497963104517","0.2328554469904336","7650","75988907","1928","23275","0.9651003607388188","0.6823789416243148","0.6473086987730217","0.98301509769094","0.664381334914057","0.664381334914057","0.497433400926084","2626033","70742595","1222317","1430815"
"15a98323","2026-05-14T20:27:44.187457+00:00","baseline_scratch_seed42.pth","42","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct\test.csv","512","8","unet_eval__20260514-202736__id15a98323__modelbaseline_scratch_seed42__splittumor_and_fluid_segmentation_oct__img512__bs8","runs_unet\unet_eval__20260514-202736__id15a98323__modelbaseline_scratch_seed42__splittumor_and_fluid_segmentation_oct__img512__bs8","0.47395775491648523","0.3369092748475936","0.47395775491648523","0.9996159257559927","0.6013378711348276","0.1656911883583971","0.9999552972407777","0.2597982051405471","0.2597982051405471","0.14929199930030507","5124","75987438","3397","25801","0.9677673866008877","0.7113835986744685","0.6663246934565784","0.984760489945432","0.6881173046924234","0.6881173046924234","0.524526550394882","2703178","70868202","1096710","1353670"
"23eae964","2026-05-14T20:27:52.107365+00:00","baseline_scratch_seed7.pth","7","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct\test.csv","512","8","unet_eval__20260514-202744__id23eae964__modelbaseline_scratch_seed7__splittumor_and_fluid_segmentation_oct__img512__bs8","runs_unet\unet_eval__20260514-202744__id23eae964__modelbaseline_scratch_seed7__splittumor_and_fluid_segmentation_oct__img512__bs8","0.6242765174176854","0.4551966316288323","0.6242765174176854","0.9997020195270393","0.6783835072859553","0.5086176232804895","0.999901869745212","0.5813605366735389","0.5813605366735389","0.4098014694377317","15729","75983378","7457","15196","0.9682411193847643","0.7568228854918339","0.596543917839648","0.9891946508598509","0.667192498161832","0.667192498161832","0.5005917938199329","2420088","71187306","777606","1636760"
"e1588208","2026-05-14T20:28:00.367087+00:00","baseline_scratch_seed73.pth","73","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct\test.csv","512","8","unet_eval__20260514-202752__ide1588208__modelbaseline_scratch_seed73__splittumor_and_fluid_segmentation_oct__img512__bs8","runs_unet\unet_eval__20260514-202752__ide1588208__modelbaseline_scratch_seed73__splittumor_and_fluid_segmentation_oct__img512__bs8","0.5492771012064679","0.388737427785933","0.5492771012064679","0.9996605577140005","0.682987848458306","0.3089733225535684","0.999941637698808","0.42547033284999336","0.42547033284999336","0.27022058823452993","9555","75986400","4435","21370","0.9685588573587338","0.7560479342555292","0.6065272842364169","0.9889675123899255","0.6730838695629425","0.6730838695629425","0.507254267337336","2460589","71170960","793952","1596259"
"f6f71e7c","2026-05-14T20:28:08.557652+00:00","baseline_scratch_seed99.pth","99","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct\test.csv","512","8","unet_eval__20260514-202800__idf6f71e7c__modelbaseline_scratch_seed99__splittumor_and_fluid_segmentation_oct__img512__bs8","runs_unet\unet_eval__20260514-202800__idf6f71e7c__modelbaseline_scratch_seed99__splittumor_and_fluid_segmentation_oct__img512__bs8","0.5516828909721674","0.40126147971515697","0.5516828909721674","0.9996627676075889","0.7583040250023612","0.25099434114712693","0.9999674434423559","0.3771531303895018","0.3771531303895018","0.2324021677288769","7762","75988361","2474","23163","0.9720775998871889","0.7616326225838379","0.6939407145645907","0.9877568946377632","0.7262126515548328","0.7262126515548328","0.570120791701437","2815212","71083838","881074","1241636"
"3d98b2f8","2026-05-14T20:28:16.650322+00:00","kermany_transfer_frozen_seed1009.pth","1009","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct\test.csv","512","8","unet_eval__20260514-202808__id3d98b2f8__modelkermany_transfer_frozen_seed1009__splittumor_and_fluid_segmentation_oct__img512__bs8","runs_unet\unet_eval__20260514-202808__id3d98b2f8__modelkermany_transfer_frozen_seed1009__splittumor_and_fluid_segmentation_oct__img512__bs8","0.685793250886271","0.5256460228865674","0.685793250886271","0.9997950586779351","0.7414634146318129","0.7618431689546908","0.9998918948581088","0.7515151515139529","0.7515151515139529","0.6019417475712776","23560","75982620","8215","7365","0.9623347446836261","0.6714865185248853","0.5759698169613311","0.9841151337751917","0.6200713502585891","0.6200713502585891","0.4493502982018571","2336622","70821759","1143153","1720226"
"5f666e7b","2026-05-14T20:28:25.206411+00:00","kermany_transfer_frozen_seed123.pth","123","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct\test.csv","512","8","unet_eval__20260514-202816__id5f666e7b__modelkermany_transfer_frozen_seed123__splittumor_and_fluid_segmentation_oct__img512__bs8","runs_unet\unet_eval__20260514-202816__id5f666e7b__modelkermany_transfer_frozen_seed123__splittumor_and_fluid_segmentation_oct__img512__bs8","0.6501694562184314","0.4837662406423671","0.6501694562184314","0.999776458740233","0.768948608051396","0.6439773645896718","0.9999212536617067","0.7009362241294155","0.7009362241294155","0.5395702945066526","19915","75984851","5984","11010","0.9635543823242174","0.7248994045757812","0.5109461828493325","0.9890690757740369","0.5994026883074473","0.5994026883074473","0.4279621867780816","2072831","71178269","786643","1984017"
"06d06910","2026-05-14T20:28:33.274507+00:00","kermany_transfer_frozen_seed13.pth","13","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct\test.csv","512","8","unet_eval__20260514-202825__id06d06910__modelkermany_transfer_frozen_seed13__splittumor_and_fluid_segmentation_oct__img512__bs8","runs_unet\unet_eval__20260514-202825__id06d06910__modelkermany_transfer_frozen_seed13__splittumor_and_fluid_segmentation_oct__img512__bs8","0.6833982866952795","0.5270326307397908","0.6833982866952795","0.999818867650524","0.7745063526073719","0.7825707356482374","0.9999072782921768","0.7785176606820136","0.7785176606820136","0.637354823416193","24201","75983789","7046","6724","0.9586462875892363","0.6275638052340514","0.5536226646894201","0.9814785155299002","0.5882789127085454","0.5882789127085454","0.4167104380633886","2245963","70632015","1332897","1810885"
"68000bd0","2026-05-14T20:28:41.406656+00:00","kermany_transfer_frozen_seed19.pth","19","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct","Ophthalmic_Scans/splits/tumor_and_fluid_segmentation_oct\test.csv","512","8","unet_eval__20260514-202833__id68000bd0__modelkermany_transfer_frozen_seed19__splittumor_and_fluid_segmentation_oct__img512__bs8","runs_unet\unet_eval__20260514-202833__id68000bd0__modelkermany_transfer_frozen_seed19__splittumor_and_fluid_segmentation_oct__img512__bs8","0.6663704768704496","0.505735060408891","0.6663704768704496","0.9997844038338483","0.7081960638247108","0.7993856103450303","0.9998659575197443","0.7510329323114123","0.7510329323114123","0.6013232468181233","24721","75980649","10186","6204","0.964199250319907","0.7725258378787601","0.46648407827948035","0.9922567403403466","0.5817080214294869","0.5817080214294869","0.41014687399965866","1892455","71407669","557243","2164393"
